0,0,0,0,0,0,6,0,5,0,5,5,0,0,5,0,0,0,0,0,0,6,0,5,0,7,0,5,5,0,0,0,5,5
5,0,5,0,0,0,0,5,0,5,0,0,0,0,0,5,11,0,5,0,0,5,5,0,5,0,0,0,0,5,0,5,0,0
5,0,0,0,7,0,5,5,0,0,0,0,0,7,6,5,9,0,0,0,7,5,5,0,10,0,7,0,5,5,0,0,0,5
0,0,0,0,5,0,0,0,0,0,5,5,6,0,5,6,9,0,0,0,5,0,5,0,9,0,0,0,0,5,0,10,0,0
6,0,5,0,0,12,0,0,7,0,0,0,10,0,5,0,9,0,5,0,0,6,5,0,9,0,7,0,5,5,0,9,0,5
0,7,0,0,0,9,6,5,0,0,0,6,9,0,6,6,9,0,5,0,0,0,0,0,8,0,5,0,0,0,0,9,5,0
5,0,0,11,0,8,0,0,0,7,0,0,9,0,5,6,9,0,12,5,0,0,6,0,5,0,0,0,0,0,7,8,0,0
0,0,5,9,5,0,0,5,0,0,6,0,8,0,0,6,8,6,9,0,5,0,5,0,0,0,5,0,0,0,0,5,0,0
0,5,0,9,0,0,5,0,0,0,0,0,7,0,0,0,0,0,8,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
0,0,0,9,0,10,0,6,0,0,0,6,0,0,7,0,0,0,0,5,0,0,0,0,5,0,0,0,10,5,0,0,0,0
0,6,0,9,0,9,0,0,5,0,0,0,6,0,0,5,0,0,5,0,0,5,0,0,0,0,7,0,9,0,0,7,0,0
0,0,6,9,0,9,0,0,0,54,55,55,55,55,69,69,69,55,55,55,55,55,69,56,0,0,0,0,9,0,0,10,0,0
0,0,0,8,0,8,6,0,0,57,26,26,26,78,25,25,25,25,78,36,78,25,79,59,0,5,0,0,8,0,5,9,0,5
0,0,7,0,0,0,0,5,0,57,77,77,77,74,25,29,25,25,25,25,25,25,25,59,0,0,12,0,0,0,0,9,0,0
0,5,0,6,0,0,7,0,0,57,25,25,25,25,25,25,25,25,25,25,25,25,25,59,0,7,9,0,0,0,7,8,0,0
0,0,0,0,0,5,0,6,0,57,25,25,32,25,38,25,38,25,38,25,31,25,25,59,5,0,8,5,0,5,0,0,5,0
5,0,0,5,0,0,0,0,0,57,25,25,25,25,25,25,25,25,25,25,25,25,25,59,0,5,0,0,0,0,5,0,0,0
0,0,5,0,0,0,0,5,0,57,77,73,30,25,25,76,77,77,77,77,73,25,25,59,0,0,6,0,0,0,0,6,0,0
0,5,0,6,7,0,0,0,7,57,79,78,25,25,25,78,47,47,47,47,78,25,79,59,0,7,0,5,10,0,7,0,5,0
0,0,10,0,0,0,12,0,0,60,61,61,70,61,70,61,61,61,61,61,61,70,61,62,0,0,0,0,9,0,0,0,0,0
0,6,9,0,0,0,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,0,5,0,0,0
0,0,9,0,0,7,8,5,5,0,0,6,0,0,0,5,0,6,0,7,0,0,6,0,0,5,0,5,8,0,5,0,5,0
0,0,8,5,6,0,5,6,5,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
0,0,7,0,0,5,5,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0
0,5,0,6,0,0,6,6,0,10,0,5,0,0,0,0,11,0,5,0,12,0,6,0,0,0,12,0,0,0,0,0,12,0
0,0,0,0,5,5,5,6,5,9,0,11,0,5,0,5,9,0,0,5,9,5,5,0,10,5,9,0,0,5,6,0,9,0
0,0,0,5,0,12,5,0,0,9,0,9,0,10,0,0,9,0,0,5,8,0,0,0,9,0,9,7,5,0,0,0,8,0
7,0,0,0,0,9,0,0,0,8,0,9,0,9,0,0,9,7,0,0,10,5,0,0,9,0,8,0,0,0,0,0,0,0
0,0,6,0,6,8,0,0,0,0,7,9,0,9,0,6,9,0,0,0,9,7,0,6,9,0,0,0,12,7,0,0,0,0
0,0,0,0,0,5,5,5,0,0,0,9,0,8,0,0,9,5,5,0,9,0,0,0,9,5,5,0,9,0,0,0,0,0
0,7,6,5,6,0,5,0,5,0,0,9,0,5,0,6,8,5,0,5,8,0,0,6,9,5,0,5,8,0,0,0,5,0
6,0,5,6,6,5,5,0,0,0,7,8,5,5,0,6,5,5,0,0,0,7,0,6,8,5,0,0,0,7,0,5,5,0
0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,7,0,0
0,6,0,0,0,0,6,0,5,0,0,0,0,0,7,0,0,6,6,6,0,7,0,5,0,7,0,5,5,0,0,0,5,5
